date,num1,num2,num3,num4,num5,num6,sup1,sup2
11/06/2018,3,4,22,23,33,44,24,38
04/06/2018,3,4,17,31,37,40,6,22
28/05/2018,10,19,28,32,40,44,7,13
21/05/2018,8,10,11,21,34,39,15,23
14/05/2018,12,17,20,25,28,45,29,39
07/05/2018,8,14,17,33,38,39,5,44
30/04/2018,5,8,17,21,23,24,9,44
23/04/2018,4,7,13,14,25,31,6,19
16/04/2018,10,11,15,35,37,40,19,20
09/04/2018,2,11,13,26,28,41,14,33
02/04/2018,1,4,17,24,40,42,38,44
26/03/2018,13,24,30,36,40,41,3,39
19/03/2018,19,20,26,34,39,42,29,43
12/03/2018,13,14,27,34,36,45,32,41
05/03/2018,6,9,11,13,18,24,23,33
26/02/2018,4,5,6,7,31,32,36,44
19/02/2018,7,9,14,18,35,37,28,39
12/02/2018,3,4,8,10,37,39,17,43
05/02/2018,3,9,14,30,31,43,37,38
29/01/2018,3,18,25,34,41,44,5,27
22/01/2018,12,17,28,33,40,42,14,38
15/01/2018,10,14,28,40,43,45,26,37
08/01/2018,3,6,8,24,34,40,18,26
01/01/2018,2,24,29,31,34,37,3,16
25/12/2017,4,18,20,27,41,45,1,19
18/12/2017,1,20,32,43,44,45,11,22
11/12/2017,11,17,20,22,27,38,9,28
04/12/2017,9,13,17,24,32,43,3,14
27/11/2017,9,13,16,38,39,41,10,43
20/11/2017,8,14,27,29,36,38,18,45
13/11/2017,8,11,12,21,36,38,25,42
06/11/2017,3,7,10,13,17,22,4,40
30/10/2017,3,7,21,23,30,38,12,17
23/10/2017,15,16,20,21,31,41,26,44
16/10/2017,4,25,28,39,40,42,2,45
09/10/2017,4,8,20,29,34,40,2,25
02/10/2017,7,12,17,26,29,36,6,31
25/09/2017,8,10,18,33,39,45,1,31
18/09/2017,4,9,13,14,18,43,2,37
11/09/2017,2,6,7,11,13,26,29,35
04/09/2017,7,8,13,16,24,37,5,20
28/08/2017,11,31,33,38,42,44,13,28
21/08/2017,3,8,16,19,23,45,29,36
14/08/2017,8,9,10,20,34,35,19,31
07/08/2017,6,29,32,35,41,44,3,18
31/07/2017,4,8,12,27,28,35,15,26
24/07/2017,1,13,20,23,28,39,18,35
17/07/2017,4,7,10,21,40,42,13,43
10/07/2017,12,17,21,24,37,42,2,33
03/07/2017,8,9,10,23,34,42,11,43
26/06/2017,14,17,18,34,40,41,6,45
19/06/2017,20,21,22,27,35,42,2,3
12/06/2017,5,22,28,34,38,44,15,24
05/06/2017,2,13,16,22,31,38,19,34
29/05/2017,11,18,20,22,27,42,2,34
22/05/2017,6,17,20,33,38,44,16,24
15/05/2017,15,16,17,34,36,38,1,45
08/05/2017,4,5,23,25,33,42,20,24
01/05/2017,6,11,14,17,18,25,16,42
24/04/2017,9,22,26,28,31,34,13,15
17/04/2017,21,25,30,38,41,43,14,22
10/04/2017,6,10,15,29,35,37,32,36
03/04/2017,3,13,23,24,25,27,7,29
27/03/2017,3,6,18,20,31,36,9,23
20/03/2017,6,14,15,19,23,39,28,45
13/03/2017,6,13,14,19,33,38,20,31
06/03/2017,3,11,13,17,22,23,20,36
27/02/2017,14,19,25,26,42,43,22,36
20/02/2017,3,24,29,31,35,39,19,30
13/02/2017,13,14,15,16,23,41,22,25
06/02/2017,7,24,34,35,36,42,8,40
30/01/2017,14,25,34,37,41,42,4,5
23/01/2017,9,11,22,25,26,37,7,14
16/01/2017,5,16,20,21,29,43,9,31
09/01/2017,10,18,27,33,34,45,23,25
02/01/2017,2,7,21,31,32,33,9,27
26/12/2016,2,9,11,18,21,29,40,45
19/12/2016,4,6,10,11,33,38,23,28
12/12/2016,7,17,25,31,33,40,18,44
05/12/2016,3,21,25,29,41,45,24,37
28/11/2016,26,33,35,37,39,42,21,36
21/11/2016,4,7,12,33,44,45,10,27
14/11/2016,3,4,13,25,35,39,15,34
07/11/2016,7,21,23,26,32,37,8,43
31/10/2016,8,28,32,37,38,39,11,25
24/10/2016,3,8,13,19,23,43,16,28
17/10/2016,11,14,18,26,39,44,8,16
