date,num1,num2,num3,num4,num5,num6,sup1,sup2
30/01/2019,11,28,37,40,41,42,18,29
23/01/2019,3,6,9,16,21,36,34,41
16/01/2019,14,19,28,35,42,44,32,39
09/01/2019,1,5,31,34,42,45,13,20
02/01/2019,1,6,13,22,33,41,12,37
26/12/2018,2,5,6,11,19,20,25,39
19/12/2018,2,6,15,16,17,19,28,42
12/12/2018,2,5,14,29,32,44,8,28
05/12/2018,6,12,17,19,24,45,3,23
28/11/2018,2,23,30,38,39,44,1,24
21/11/2018,1,6,14,18,19,20,24,32
14/11/2018,4,14,15,22,30,37,5,41
07/11/2018,16,20,30,31,32,40,28,39
31/10/2018,2,3,8,12,31,39,33,43
24/10/2018,5,6,11,12,22,24,27,28
17/10/2018,5,13,31,38,42,45,18,40
10/10/2018,5,10,15,19,40,43,34,42
03/10/2018,1,6,8,17,34,45,15,24
26/09/2018,5,8,11,14,39,45,26,36
19/09/2018,7,20,23,30,32,43,4,35
12/09/2018,9,10,15,31,35,40,14,41
05/09/2018,3,8,13,38,40,45,20,30
29/08/2018,17,28,37,40,41,42,30,38
22/08/2018,2,5,34,39,41,44,8,12
15/08/2018,27,30,37,40,42,43,11,26
08/08/2018,2,3,7,11,22,45,10,42
01/08/2018,17,19,25,35,38,40,8,41
25/07/2018,1,23,26,27,31,39,16,41
18/07/2018,9,13,21,23,28,45,19,27
11/07/2018,1,13,23,27,34,40,9,41
04/07/2018,4,11,12,14,30,44,13,21
27/06/2018,2,5,10,22,24,28,32,42
20/06/2018,3,21,29,31,37,39,19,30
13/06/2018,13,27,28,31,32,39,4,10
06/06/2018,8,19,21,35,36,37,2,15
30/05/2018,12,14,20,22,36,41,5,43
23/05/2018,9,13,23,28,29,39,26,40
16/05/2018,6,11,16,25,32,41,17,21
09/05/2018,2,3,16,18,33,42,14,26
02/05/2018,4,14,15,16,29,30,20,35
25/04/2018,4,7,23,28,36,41,24,29
18/04/2018,3,4,11,36,41,45,7,43
11/04/2018,5,24,27,33,37,41,1,39
04/04/2018,12,19,23,29,37,38,27,34
28/03/2018,4,18,24,29,31,34,3,16
21/03/2018,5,23,32,34,41,44,37,39
14/03/2018,4,9,17,31,34,36,5,15
07/03/2018,1,2,9,19,43,45,6,27
28/02/2018,2,28,31,32,37,38,34,39
21/02/2018,5,12,19,21,38,45,30,41
14/02/2018,10,27,37,39,43,45,18,21
07/02/2018,6,14,20,31,32,37,8,26
31/01/2018,14,16,29,35,37,38,24,40
24/01/2018,4,7,27,33,36,45,37,44
17/01/2018,6,21,27,28,32,42,22,45
10/01/2018,16,20,23,28,29,30,26,37
03/01/2018,2,20,28,29,32,41,1,12
27/12/2017,2,9,12,19,41,45,14,29
20/12/2017,12,14,19,27,39,40,30,44
13/12/2017,6,9,13,15,16,41,7,20
06/12/2017,8,13,14,34,36,43,30,37
29/11/2017,13,15,33,35,36,44,5,14
22/11/2017,10,11,20,24,27,36,9,41
15/11/2017,10,14,17,20,28,37,21,27
08/11/2017,3,6,11,23,34,38,5,30
01/11/2017,2,18,22,23,27,45,3,34
25/10/2017,10,14,22,24,28,43,32,35
18/10/2017,10,16,17,34,35,41,33,45
11/10/2017,12,17,23,26,34,35,3,33
04/10/2017,13,17,18,23,32,42,4,16
27/09/2017,5,26,28,33,34,37,25,40
20/09/2017,5,13,17,24,26,37,28,40
13/09/2017,3,9,20,21,41,45,12,28
06/09/2017,13,16,23,30,36,45,12,21
30/08/2017,21,23,25,34,35,42,27,32
23/08/2017,10,11,17,19,37,40,30,31
16/08/2017,5,10,21,34,35,43,12,36
09/08/2017,4,7,14,26,27,45,2,34
02/08/2017,8,9,17,25,28,45,13,31
26/07/2017,4,5,8,19,34,37,15,44
19/07/2017,1,8,32,33,40,43,35,45
12/07/2017,11,17,22,23,24,34,15,29
05/07/2017,3,11,18,24,32,36,7,14
28/06/2017,6,27,30,32,34,38,4,5
21/06/2017,16,28,30,35,38,40,10,11
14/06/2017,22,25,30,39,44,45,31,43
